lane,label,source_type,url,download_path,retrieved_on,download_status,repo_head,content_type
jdbc,mssql-jdbc repo,candidate_repo,https://github.com/microsoft/mssql-jdbc,docs/reference/best_in_class_driver_research_2026-04-03/jdbc/downloads/05_mssql-jdbc_repo.html,2026-04-03,downloaded,refs/heads/main e8d39f3907dd80c36732ade6730bda3b6de2e1ab,text/html
metabase,Metabase databases docs,selected_docs,https://www.metabase.com/docs/latest/databases/start,docs/reference/best_in_class_driver_research_2026-04-03/metabase/downloads/01_Metabase_databases_docs.html,2026-04-03,downloaded,,text/html
metabase,Metabase repo,selected_repo,https://github.com/metabase/metabase,docs/reference/best_in_class_driver_research_2026-04-03/metabase/downloads/02_Metabase_repo.html,2026-04-03,downloaded,refs/heads/master 672bd07e35ed7a70214c79fcd6b05668fb477f83,text/html
metabase,Metabase PostgreSQL docs,candidate_docs,https://www.metabase.com/docs/latest/databases/connections/postgresql,docs/reference/best_in_class_driver_research_2026-04-03/metabase/downloads/03_Metabase_PostgreSQL_docs.html,2026-04-03,downloaded,,text/html
metabase,Metabase MySQL docs,candidate_docs,https://www.metabase.com/docs/latest/databases/connections/mysql,docs/reference/best_in_class_driver_research_2026-04-03/metabase/downloads/04_Metabase_MySQL_docs.html,2026-04-03,downloaded,,text/html
metabase,Metabase SQL Server docs,candidate_docs,https://www.metabase.com/docs/latest/databases/connections/sql-server,docs/reference/best_in_class_driver_research_2026-04-03/metabase/downloads/05_Metabase_SQL_Server_docs.html,2026-04-03,downloaded,,text/html
mojo,asyncpg docs,selected_docs,https://magicstack.github.io/asyncpg/current/,docs/reference/best_in_class_driver_research_2026-04-03/mojo/downloads/01_asyncpg_docs.html,2026-04-03,downloaded,,text/html
mojo,asyncpg repo,selected_repo,https://github.com/MagicStack/asyncpg,docs/reference/best_in_class_driver_research_2026-04-03/mojo/downloads/02_asyncpg_repo.html,2026-04-03,downloaded,refs/heads/master db8ecc2a38e16fb0c090aef6f5506547c2831c24,text/html
mojo,pgx docs,candidate_docs,https://pkg.go.dev/github.com/jackc/pgx/v5,docs/reference/best_in_class_driver_research_2026-04-03/mojo/downloads/03_pgx_docs.html,2026-04-03,downloaded,,text/html
mojo,PostgresNIO repo,candidate_repo,https://github.com/vapor/postgres-nio,docs/reference/best_in_class_driver_research_2026-04-03/mojo/downloads/04_PostgresNIO_repo.html,2026-04-03,downloaded,refs/heads/main f294b6205defeb23dc04c4e094b04f0de5784d4b,text/html
node,node-postgres docs,selected_docs,https://node-postgres.com/,docs/reference/best_in_class_driver_research_2026-04-03/node/downloads/01_node-postgres_docs.html,2026-04-03,downloaded,,text/html
node,node-postgres repo,selected_repo,https://github.com/brianc/node-postgres,docs/reference/best_in_class_driver_research_2026-04-03/node/downloads/02_node-postgres_repo.html,2026-04-03,downloaded,refs/heads/master c78b302666d593007359eb2bd223c5b325a07058,text/html
node,mysql2 docs,candidate_docs,https://sidorares.github.io/node-mysql2/docs,docs/reference/best_in_class_driver_research_2026-04-03/node/downloads/03_mysql2_docs.html,2026-04-03,downloaded,,text/html
node,tedious repo,candidate_repo,https://github.com/tediousjs/tedious,docs/reference/best_in_class_driver_research_2026-04-03/node/downloads/04_tedious_repo.html,2026-04-03,downloaded,refs/heads/master 529402b943753d47988cc6c8d3babd91c85dd824,text/html
odbc,Microsoft ODBC docs,selected_docs,https://learn.microsoft.com/en-us/sql/connect/odbc/microsoft-odbc-driver-for-sql-server,docs/reference/best_in_class_driver_research_2026-04-03/odbc/downloads/01_Microsoft_ODBC_docs.html,2026-04-03,downloaded,,text/html
odbc,psqlODBC project,anchor_docs,https://odbc.postgresql.org/,docs/reference/best_in_class_driver_research_2026-04-03/odbc/downloads/02_psqlODBC_project.html,2026-04-03,downloaded,,text/html
odbc,psqlODBC repo,anchor_repo,https://github.com/postgresql-interfaces/psqlodbc,docs/reference/best_in_class_driver_research_2026-04-03/odbc/downloads/03_psqlODBC_repo.html,2026-04-03,downloaded,refs/heads/main 863a0e938dd50c7b68208484bdc3ef8b00735a92,text/html
odbc,MySQL Connector/ODBC repo,candidate_repo,https://github.com/mysql/mysql-connector-odbc,docs/reference/best_in_class_driver_research_2026-04-03/odbc/downloads/04_MySQL_Connector_ODBC_repo.html,2026-04-03,downloaded,refs/heads/trunk 48709cc9393225aa768e32219eb66292815f489b,text/html
pascal,FireDAC docs,selected_docs,https://docwiki.embarcadero.com/RADStudio/Alexandria/en/Connect_to_PostgreSQL_(FireDAC),docs/reference/best_in_class_driver_research_2026-04-03/pascal/downloads/01_FireDAC_docs.html,2026-04-03,downloaded,,text/html
pascal,ZeosLib mirror,anchor_docs,https://github.com/frones/ZeosLib,docs/reference/best_in_class_driver_research_2026-04-03/pascal/downloads/02_ZeosLib_mirror.html,2026-04-03,downloaded,,text/html
pascal,FreePascal FCL docs,candidate_docs,https://docs.freepascal.org/docs-html/fcl/,docs/reference/best_in_class_driver_research_2026-04-03/pascal/downloads/03_FreePascal_FCL_docs.html,2026-04-03,downloaded,,text/html
php,PDO_PGSQL source,selected_docs,https://github.com/php/php-src/tree/master/ext/pdo_pgsql,docs/reference/best_in_class_driver_research_2026-04-03/php/downloads/01_PDO_PGSQL_source.html,2026-04-03,downloaded,,text/html
php,PHP source repo,selected_repo,https://github.com/php/php-src,docs/reference/best_in_class_driver_research_2026-04-03/php/downloads/02_PHP_source_repo.html,2026-04-03,downloaded,refs/heads/master b7c855f4c2d9a79e6f9bd84a4a40805980542e97,text/html
php,ext-pgsql source,candidate_docs,https://github.com/php/php-src/tree/master/ext/pgsql,docs/reference/best_in_class_driver_research_2026-04-03/php/downloads/03_ext-pgsql_source.html,2026-04-03,downloaded,,text/html
php,amphp/postgres repo,candidate_repo,https://github.com/amphp/postgres,docs/reference/best_in_class_driver_research_2026-04-03/php/downloads/04_amphp_postgres_repo.html,2026-04-03,downloaded,refs/heads/2.x b68c4d5929d0ec1701781dbbb0bb81dd8d0a42d7,text/html
prisma,Prisma PostgreSQL docs,selected_docs,https://www.prisma.io/docs/orm/overview/databases/postgresql,docs/reference/best_in_class_driver_research_2026-04-03/prisma/downloads/01_Prisma_PostgreSQL_docs.html,2026-04-03,downloaded,,text/html
prisma,Prisma repo,selected_repo,https://github.com/prisma/prisma,docs/reference/best_in_class_driver_research_2026-04-03/prisma/downloads/02_Prisma_repo.html,2026-04-03,downloaded,refs/heads/main ada077ba32b5801d00d32f1434a45aaae7bc09a9,text/html
prisma,Prisma MySQL docs,candidate_docs,https://www.prisma.io/docs/orm/overview/databases/mysql,docs/reference/best_in_class_driver_research_2026-04-03/prisma/downloads/03_Prisma_MySQL_docs.html,2026-04-03,downloaded,,text/html
prisma,Prisma SQL Server docs,candidate_docs,https://www.prisma.io/docs/orm/overview/databases/sql-server,docs/reference/best_in_class_driver_research_2026-04-03/prisma/downloads/04_Prisma_SQL_Server_docs.html,2026-04-03,downloaded,,text/html
python,psycopg3 docs,selected_docs,https://www.psycopg.org/psycopg3/docs/,docs/reference/best_in_class_driver_research_2026-04-03/python/downloads/01_psycopg3_docs.html,2026-04-03,downloaded,,text/html
python,psycopg repo,selected_repo,https://github.com/psycopg/psycopg,docs/reference/best_in_class_driver_research_2026-04-03/python/downloads/02_psycopg_repo.html,2026-04-03,downloaded,refs/heads/master eaeb5edeb1f08c6930d5598237136fbe167e0317,text/html
python,asyncpg docs,candidate_docs,https://magicstack.github.io/asyncpg/current/,docs/reference/best_in_class_driver_research_2026-04-03/python/downloads/03_asyncpg_docs.html,2026-04-03,downloaded,,text/html
python,mysqlclient repo,candidate_repo,https://github.com/PyMySQL/mysqlclient,docs/reference/best_in_class_driver_research_2026-04-03/python/downloads/04_mysqlclient_repo.html,2026-04-03,downloaded,refs/heads/main a417303a0597113d2299f63c04f9055e09950ee1,text/html
r,RPostgres docs,selected_docs,https://rpostgres.r-dbi.org/,docs/reference/best_in_class_driver_research_2026-04-03/r/downloads/01_RPostgres_docs.html,2026-04-03,downloaded,,text/html
r,RPostgres repo,selected_repo,https://github.com/r-dbi/RPostgres,docs/reference/best_in_class_driver_research_2026-04-03/r/downloads/02_RPostgres_repo.html,2026-04-03,downloaded,refs/heads/main 8645e6a8f55e258393509c04d0b47f978ac47615,text/html
r,RMariaDB docs,candidate_docs,https://rmariadb.r-dbi.org/,docs/reference/best_in_class_driver_research_2026-04-03/r/downloads/03_RMariaDB_docs.html,2026-04-03,downloaded,,text/html
